"ReachID","SiteID","Year","Date","BRLat","BRLong","StreamName","BFWidth","Grad","RchLen","BF_WDRatio","BF_Height","WetWidth","WetWidthToDepth","RPD","PctPool","Sin","PctDry","Beaver","StreamOrder","D50","PoolTailFines2","PctFines2","PctFines6","PoolTailFines6","LWD_Freq","LWD_Vol","OEratio","MMI","Program"
"10000","FW08KS001","2008","5-Aug-08",39.01490805,-98.01046463,NA,7.590909091,0.323319707,163.9,3.080830777,2.263636364,2.2525,22.23937606,9.440386615,9.333333333,1.361993024,NA,NA,2,NA,NA,41.9047619,41.9047619,NA,18.91397193,11.33129957,1.17468923,3,"EPA"
"10001","FW08KS003","2008","11-Aug-08",37.3952849,-98.92627961,NA,9.172727273,0.427216,NA,6.000397129,1.381818182,4.985,29.45944435,3.835185376,0,2.000395,NA,NA,3,NA,NA,95.23809524,0,NA,NA,NA,0.438390167,3,"EPA"
"10002","FW08KS005","2008","22-Jul-08",38.19892655,-95.42768365,NA,8.745454545,0.323156398,178.2,4.672922317,1.963636364,3.29,32.0598096,12.28462391,9,1.321487002,NA,NA,2,NA,NA,94.28571429,94.28571429,NA,17.39618406,1.600448934,0.724566489,5,"EPA"
"10003","FW08KS006","2008","12-Aug-08",37.47701976,-98.36534065,NA,6.790909091,0.126200811,227.7,7.144641727,0.754545455,6.47,17.45988369,12.02396211,0,3.296658477,NA,NA,3,NA,NA,100,0,NA,27.22880984,71.77470356,0.27444883,5,"EPA"
"10004","FW08KS012","2008","15-Jul-08",37.78662431,-96.42997007,NA,15.80909091,0.168503911,435.6,8.432669641,1.536363636,10.08,20.88859028,37.76741401,17,1.340770752,NA,NA,4,NA,NA,27.61904762,26.66666667,NA,3.902662994,0.444214876,1.265207863,3,"EPA"
"10006","FW08KS036","2008","25-Aug-08",37.99322599,-99.32134205,NA,11.11818182,0.157374103,148.5,10.6463557,1.081818182,4.515,69.68871573,4.949646258,5,1.128607277,NA,NA,7,NA,NA,100,100,NA,26.93602694,94.64646465,0.718467349,2,"EPA"
"10007","FW08KS039","2008","8-Jul-08",39.01570904,-95.84061299,NA,7.175454545,0.543228659,148.5,5.545417064,1.186363636,3.0375,22.10042026,17.08977939,22,1.238100251,NA,NA,1,NA,NA,33.33333333,33.33333333,NA,26.26262626,44.8976431,0.685823222,5,"EPA"
"10828","FW08KS033","2008","29-Jul-08",37.97450198,-101.7879598,NA,22.45454545,0.058638682,633.6,11.76363776,1.318181818,18.585,30.28338111,15.80953583,0,1.118454221,NA,NA,7,NA,NA,99.04761905,29.52380952,NA,10.57449495,1.426609848,0.720381095,2,"EPA"
"10829","FW08DE001","2008","3-Sep-08",39.3588435,-75.67549416,NA,2.554545455,0.54260889,148.5,8.589225023,0.245454545,1.5,13.60179814,9.538146056,70,1.163480452,NA,NA,2,NA,NA,93.33333333,37.14285714,NA,0.673400673,0.701683502,1.125419445,2,"EPA"
"10842","FW08DE013","2008","13-Aug-08",39.7302915,-75.59800358,NA,9.281818182,0.076096071,316.8,30.47586201,0.090909091,8.835,40.78099555,15.82032823,44,1.02063709,NA,NA,3,NA,NA,46.66666667,10.47619048,NA,0.946969697,0.133207071,0.96563046,5,"EPA"
"10854","FW08NV003","2008","16-Jun-08",40.31657757,-116.901529,NA,1.781818182,3.430692054,148.5,3.809075055,0.381818182,0.97,15.19583333,0.506709509,3,1.047072926,NA,NA,1,NA,NA,8.571428571,8.571428571,NA,0,0,0.965331686,5,"EPA"
"10856","FW08NV069","2008","6-Aug-08",41.88666095,-114.6866143,NA,13.68181818,1.375,NA,14.07894178,0.6,11.01764706,27.49696472,19.28985878,2,2.001994,NA,NA,6,NA,NA,35.23809524,13.33333333,NA,NA,NA,1.418890987,3,"EPA"
"10857","FW08NV003","2008","5-Aug-08",40.31657757,-116.901529,NA,2.055555556,8.012403,NA,4.660783139,0.4,0.433333333,32,0.832893694,62.5,1.999376,NA,NA,1,NA,NA,1.176470588,0,NA,NA,NA,0.361999382,5,"EPA"
"10858","FW08NV004","2008","9-Jul-08",40.90311286,-115.224256,NA,2.7,12.76734955,148.5,4.942632435,0.5,1.605,22.38410062,2.193543243,6,1.117601022,NA,NA,2,NA,NA,2.857142857,1.904761905,NA,16.16161616,2.865319865,1.093007753,2,"EPA"
